route,slug,title,type,detected_state,detected_school,current_context_card,recommended_context,risk,action
/resources/best-scholarship-sites-for-international-students,best-scholarship-sites-for-international-students,Top Scholarship Websites for International Students: A Comprehensive Comparison,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/best-scholarships-international-students-no-citizenship-requirement,best-scholarships-international-students-no-citizenship-requirement,Best Scholarships for International Students With No Citizenship Requirement,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/best-stem-scholarships-undergraduate-students,best-stem-scholarships-undergraduate-students,Best STEM Scholarships for Undergraduate Students: Top National Awards to Apply For,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/best-usa-accounting-scholarships,best-usa-accounting-scholarships,Best Scholarships in the USA for College Students Majoring in Accounting,resource,,,no,none,low,skip
/resources/best-usa-environmental-science-scholarships,best-usa-environmental-science-scholarships,Best Scholarships in the USA for College Students Majoring in Environmental Science,resource,,,no,none,low,skip
/resources/best-usa-film-scholarships,best-usa-film-scholarships,Best Scholarships in the USA for College Students Majoring in Film,resource,,,no,none,low,skip
/resources/best-usa-graduate-scholarships-families,best-usa-graduate-scholarships-families,Best Scholarships in the USA for Graduate Students With Families,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/best-usa-scholarships-international-students-2026,best-usa-scholarships-international-students-2026,Best Scholarships in the USA for International Students 2026,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/best-usa-scholarships-online-graduate-students,best-usa-scholarships-online-graduate-students,Best Scholarships in the USA for Graduate Students Studying Online,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/best-way-to-find-scholarships-international-student-usa-2026,best-way-to-find-scholarships-international-student-usa-2026,Finding Scholarships for International Students in the USA: A Comprehensive Guide for 2026,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/biomedical-engineering-scholarships-usa,biomedical-engineering-scholarships-usa,Scholarships in the USA for Students Interested in Biomedical Engineering,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/boeing-international-scholarship-programs,boeing-international-scholarship-programs,Boeing International Scholarship Programs: What Students Can Actually Apply For,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/build-scholarship-portfolio-usa,build-scholarship-portfolio-usa,How College Students Can Build a Scholarship Portfolio in the USA,resource,,,no,none,low,skip
/resources/campus-media-work-scholarship-chances,campus-media-work-scholarship-chances,How College Students Can Use Campus Media Work to Improve Scholarship Chances,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/can-you-hold-multiple-scholarships-international-student,can-you-hold-multiple-scholarships-international-student,Can International Students Hold Multiple Scholarships?,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/case-competitions-improve-scholarship-chances,case-competitions-improve-scholarship-chances,How College Students Can Use Case Competitions to Improve Scholarship Chances,resource,,,no,none,low,skip
/resources/college-scholarships-usa-campus-jobs,college-scholarships-usa-campus-jobs,How College Students Can Get Scholarships in the USA With Campus Jobs,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/college-students-scholarships-usa-volunteer-work,college-students-scholarships-usa-volunteer-work,How College Students Can Get Scholarships in the USA With Volunteer Work,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/community-college-scholarships-international-students,community-college-scholarships-international-students,Scholarships for International Students at Community Colleges: What to Know,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/community-college-scholarships-international-students-usa,community-college-scholarships-international-students-usa,Scholarships for International Students at Community Colleges in the USA,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/compare-assistantships-and-scholarships-usa,compare-assistantships-and-scholarships-usa,How Graduate Students Can Compare Assistantships and Scholarships in the USA,resource,,,no,none,low,skip
/resources/compare-scholarship-packages-usa,compare-scholarship-packages-usa,How College Students Can Compare Scholarship Packages in the USA,resource,,,no,none,low,skip
/resources/compare-scholarship-trust-signals,compare-scholarship-trust-signals,How to Compare Scholarship Trust Signals Across College Student Awards,resource,,,no,none,low,skip
/resources/compare-scholarship-trust-signals-graduate-awards,compare-scholarship-trust-signals-graduate-awards,How to Compare Scholarship Trust Signals Across Graduate Awards,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/compare-scholarship-trust-signals-international-awards,compare-scholarship-trust-signals-international-awards,How to Compare Scholarship Trust Signals Across International Awards,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/computer-science-scholarships-international-students,computer-science-scholarships-international-students,Scholarships for International Students in Computer Science: Where to Find Funding,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/corporate-scholarships-international-students,corporate-scholarships-international-students,Corporate Scholarships Open to International Students: Real Programs and How to Apply,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/cost-of-studying-in-usa-for-international-students,cost-of-studying-in-usa-for-international-students,Cost of Studying in the USA for International Students and How to Reduce It,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/counselors-help-low-income-students-find-scholarships,counselors-help-low-income-students-find-scholarships,How Counselors Can Help Low-Income Students Find Scholarships,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/counselors-help-stem-students-find-scholarships,counselors-help-stem-students-find-scholarships,How Counselors Can Help STEM Students Find Scholarships,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/create-trusted-scholarship-guides-college-students,create-trusted-scholarship-guides-college-students,How to Create Scholarship Guides for College Students That Build Trust,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/daca-students-international-student-scholarships,daca-students-international-student-scholarships,Can DACA Students Apply for the Same Scholarships as International Students?,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/do-scholarships-affect-financial-aid-international-students,do-scholarships-affect-financial-aid-international-students,Do Scholarships Affect Financial Aid for International Students? What to Know,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/easy-scholarships-international-students,easy-scholarships-international-students,Easy Scholarships for International Students to Apply For,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/easy-usa-scholarships-international-students,easy-usa-scholarships-international-students,Easy Scholarships in the USA for International Students to Apply Now,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/education-grants-usa-graduate-students,education-grants-usa-graduate-students,Education Grants in the USA for Graduate Students: Real Funding Options,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/education-grants-usa-undergraduate-students,education-grants-usa-undergraduate-students,"Education Grants in the USA for Undergraduate Students: Federal, State, and College Aid",resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/emergency-funds-international-students-usa,emergency-funds-international-students-usa,Emergency Funds for International Students in the USA: Where to Find Help Fast,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/emergency-tuition-help-grants-usa,emergency-tuition-help-grants-usa,Grants in the USA for College Students Needing Emergency Tuition Help,resource,,,no,none,low,skip
/resources/engineering-scholarships-international-students,engineering-scholarships-international-students,Scholarships for International Students in Engineering: Best Funding Options,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/entrepreneurship-improve-scholarship-chances,entrepreneurship-improve-scholarship-chances,How College Students Can Use Entrepreneurship to Improve Scholarship Chances,resource,,,no,none,low,skip
/resources/environmental-science-scholarships-international-students,environmental-science-scholarships-international-students,Scholarships for International Students in Environmental Science: Where to Find Funding,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/fastweb-vs-scholarships-com-for-international-students,fastweb-vs-scholarships-com-for-international-students,Fastweb vs Scholarships.com: A Guide for International Students,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/financial-planning-international-students-usa,financial-planning-international-students-usa,"Financial Planning for International Students Studying in the USA: Budgeting, Costs, and Smart Money Tips",resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/find-scholarships-every-semester-usa,find-scholarships-every-semester-usa,How College Students Can Find Scholarships in the USA Every Semester,resource,,,no,none,low,skip
/resources/find-scholarships-international-student-step-by-step,find-scholarships-international-student-step-by-step,How to Find Scholarships as an International Student Step by Step,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/find-scholarships-usa-twins-college,find-scholarships-usa-twins-college,How to Find Scholarships in the USA for Twins Entering College,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/find-trusted-scholarships-usa-international-students,find-trusted-scholarships-usa-international-students,How to Find Trusted Scholarships in the USA for International Students,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/first-generation-student-scholarships-usa,first-generation-student-scholarships-usa,Scholarships for School Students in the USA for First-Generation Families,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/ford-foundation-fellowship-international-students,ford-foundation-fellowship-international-students,"Ford Foundation Fellowship for International Students: Eligibility, Limits, and Alternatives",resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/four-year-scholarship-plan-college,four-year-scholarship-plan-college,How School Students Can Prepare a Four Year Scholarship Plan for College,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/fulbright-scholarship-international-students-guide,fulbright-scholarship-international-students-guide,Fulbright Scholarship for International Students: Complete Guide,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/full-ride-vs-higher-ranked-university,full-ride-vs-higher-ranked-university,How to Choose Between a Full Ride and a Higher Ranked University,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/fully-funded-scholarships-usa-international-masters-students,fully-funded-scholarships-usa-international-masters-students,Fully Funded Scholarships in the USA for International Master's Students,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/fully-funded-scholarships-usa-international-students,fully-funded-scholarships-usa-international-students,Fully Funded Scholarships for International Students in the USA: Best Options and How to Apply,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/generation-google-scholarship-international-stem-students,generation-google-scholarship-international-stem-students,"Generation Google Scholarship for International STEM Students: Eligibility, Application, and Key Details",resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/get-usa-scholarships-international-students-step-by-step,get-usa-scholarships-international-students-step-by-step,How to Get Scholarships in the USA for International Students: Step-by-Step Guide,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/girls-stem-scholarships-usa-school-students,girls-stem-scholarships-usa-school-students,Scholarships for School Students in the USA for Girls in STEM,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/google-generation-scholarship-international-students,google-generation-scholarship-international-students,"Google Generation Scholarship for International Students: Eligibility, Regions, and How to Apply",resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/government-scholarships-international-students-usa,government-scholarships-international-students-usa,Government Scholarships for International Students in the USA: Real Programs and How to Apply,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/graduate-assistantships-vs-scholarships-international-students,graduate-assistantships-vs-scholarships-international-students,Graduate Assistantships vs Scholarships for International Students: Key Differences,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/graduate-scholarship-application-checklist,graduate-scholarship-application-checklist,Scholarship Application Checklist for Graduate Students: What to Prepare and When,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/graduate-scholarships-usa-after-admission,graduate-scholarships-usa-after-admission,How Graduate Students Can Get Scholarships in the USA After Admission,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/graduate-scholarships-usa-before-admission,graduate-scholarships-usa-before-admission,How Graduate Students Can Get Scholarships in the USA Before Admission,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/graduate-student-funding-strategy-usa,graduate-student-funding-strategy-usa,How Graduate Students Can Build a Funding Strategy for the USA,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/graduate-students-find-scholarships-usa-by-department,graduate-students-find-scholarships-usa-by-department,How Graduate Students Can Find Scholarships in the USA by Department,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/graduate-students-find-scholarships-usa-research-topic,graduate-students-find-scholarships-usa-research-topic,How Graduate Students Can Find Scholarships in the USA by Research Topic,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/graduate-students-scholarships-usa-advisor-network,graduate-students-scholarships-usa-advisor-network,How Graduate Students Can Find Scholarships in the USA Through Advisor Networks,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/graduate-students-write-scholarship-statements-usa,graduate-students-write-scholarship-statements-usa,How Graduate Students Can Write Scholarship Statements for the USA,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/grants-school-students-usa-stem-camps,grants-school-students-usa-stem-camps,Grants for School Students in the USA for STEM Camps: Real Funding Options,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/grants-usa-graduate-social-sciences,grants-usa-graduate-social-sciences,Top Grants in the USA for Graduate Students in Social Sciences,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/grants-usa-graduate-students-building-labs,grants-usa-graduate-students-building-labs,Top Grants in the USA for Graduate Students Building Labs,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/hackathons-improve-scholarship-chances,hackathons-improve-scholarship-chances,How College Students Can Use Hackathons to Improve Scholarship Chances,resource,,,no,none,low,skip
/resources/hbcu-scholarships-international-students,hbcu-scholarships-international-students,Scholarships for International Students at HBCUs: Where to Look and How to Apply,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/how-international-students-can-study-in-usa-for-free,how-international-students-can-study-in-usa-for-free,A Complete Guide for International Students on How to Study in the USA for Free,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/how-to-find-scholarships-for-international-students,how-to-find-scholarships-for-international-students,A Comprehensive Guide to Finding Scholarships for International Students,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/how-to-get-scholarships-as-international-student-usa,how-to-get-scholarships-as-international-student-usa,A Comprehensive Guide to Securing Scholarships as an International Student in the USA,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/how-to-track-scholarships-international-students,how-to-track-scholarships-international-students,Essential Tools for Tracking Scholarships for International Students,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/how-to-verify-scholarship-legitimacy-international-students,how-to-verify-scholarship-legitimacy-international-students,How to Verify the Legitimacy of Scholarships for International Students,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/how-to-write-scholarship-essay-as-international-student,how-to-write-scholarship-essay-as-international-student,Crafting a Compelling Scholarship Essay as an International Student,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/international-business-mba-scholarships,international-business-mba-scholarships,Scholarships for International Students in Business and MBA Programs,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/international-mathematics-scholarships,international-mathematics-scholarships,Scholarships for International Students in Mathematics: Best Funding Options,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/international-phd-scholarships-usa,international-phd-scholarships-usa,Scholarships for International PhD Students in the USA: Funding Options and How to Apply,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/international-student-scholarship-application-mistakes,international-student-scholarship-application-mistakes,Common Mistakes International Students Make on Scholarship Applications,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/international-student-scholarships-december-deadlines,international-student-scholarships-december-deadlines,Scholarships for International Students With Deadlines in December,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/international-student-scholarships-february-deadlines,international-student-scholarships-february-deadlines,Scholarships for International Students With Deadlines in February,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/international-student-scholarships-january-deadlines,international-student-scholarships-january-deadlines,Scholarships for International Students With Deadlines in January,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/international-student-scholarships-may-deadlines,international-student-scholarships-may-deadlines,Scholarships for International Students With Deadlines in May,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/international-student-scholarships-november-deadlines,international-student-scholarships-november-deadlines,Scholarships for International Students With Deadlines in November,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/international-student-scholarships-october-deadlines,international-student-scholarships-october-deadlines,Scholarships for International Students With Deadlines in October,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/international-student-scholarships-september-deadlines,international-student-scholarships-september-deadlines,Scholarships for International Students With Deadlines in September,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/international-students-financial-aid-us-universities,international-students-financial-aid-us-universities,Can International Students Get Financial Aid at US Universities?,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/international-students-scholarships-usa,international-students-scholarships-usa,Can International Students Apply for Scholarships in the USA?,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/internships-improve-scholarship-chances,internships-improve-scholarship-chances,How College Students Can Use Internships to Improve Scholarship Chances,resource,,,no,none,low,skip
/resources/ivy-league-scholarships-international-students,ivy-league-scholarships-international-students,Scholarships for International Students at Ivy League Schools: What Aid Is Really Available,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/joint-japan-world-bank-scholarship-international-students,joint-japan-world-bank-scholarship-international-students,"Joint Japan World Bank Scholarship for International Students: Eligibility, Benefits, and How to Apply",resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/keep-scholarship-usa-working-on-campus,keep-scholarship-usa-working-on-campus,How to Keep a Scholarship in the USA While Working on Campus,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/keep-scholarships-after-first-year-usa,keep-scholarships-after-first-year-usa,How College Students Can Keep Scholarships in the USA After First Year,resource,,,no,none,low,skip
/resources/last-minute-scholarships-usa-international-students,last-minute-scholarships-usa-international-students,Last Minute Scholarships in the USA Still Open for International Students,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/law-scholarships-international-students-usa,law-scholarships-international-students-usa,Scholarships for International Students Studying Law in the USA,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/long-tail-scholarship-topics-graduate-students-2026,long-tail-scholarship-topics-graduate-students-2026,Best Long-Tail Scholarship Topics for Graduate Students in 2026,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/long-tail-scholarship-topics-international-students-2026,long-tail-scholarship-topics-international-students-2026,Best Long-Tail Scholarship Topics for International Students in 2026,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/lose-scholarship-international-student,lose-scholarship-international-student,What to Do If You Lose Your Scholarship as an International Student,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/medical-scholarships-for-international-students-usa,medical-scholarships-for-international-students-usa,A Comprehensive Guide to Medical Scholarships for International Students in the USA,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/merit-based-scholarships-international-students-usa,merit-based-scholarships-international-students-usa,Merit-Based Scholarships for International Students in the USA: Real Options and How to Qualify,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/minority-graduate-scholarships-usa,minority-graduate-scholarships-usa,Scholarships in the USA for Graduate Students Who Are Minorities,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/minority-women-stem-scholarships-usa,minority-women-stem-scholarships-usa,Scholarships in the USA for Minority Women in STEM: Verified Programs and How to Apply,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/multiple-scholarships-international-student,multiple-scholarships-international-student,Can You Hold Multiple Scholarships at the Same Time as an International Student?,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/need-based-scholarships-international-students-usa,need-based-scholarships-international-students-usa,Need-Based Scholarships for International Students in the USA: What to Know,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/nih-research-grants-international-students,nih-research-grants-international-students,"NIH Research Grants Open to International Students: Eligibility, Limits, and Funding Paths",resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/no-essay-scholarships-international-students-usa,no-essay-scholarships-international-students-usa,No Essay Scholarships for International Students in the USA: What to Know,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/no-essay-scholarships-usa-international-students,no-essay-scholarships-usa-international-students,No Essay Scholarships in the USA for International Students: Real Options to Apply For,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/nsf-programs-international-students,nsf-programs-international-students,NSF Programs Open to International Students: What You Can Actually Apply For,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/nursing-scholarships-for-international-students-usa,nursing-scholarships-for-international-students-usa,Comprehensive Guide to Nursing Scholarships for International Students in the USA,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/one-time-scholarships-international-students-usa,one-time-scholarships-international-students-usa,One-Time Scholarships for International Students in the USA: Where to Look and How to Apply,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/opt-students-us-scholarships,opt-students-us-scholarships,Can OPT Students Apply for US Scholarships? What International Graduates Should Know,resource,,,no,none,low,skip
/resources/organize-scholarship-search-international-student,organize-scholarship-search-international-student,How to Organize Your Scholarship Search as an International Student,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/part-time-student-scholarships-usa,part-time-student-scholarships-usa,Scholarships in the USA for College Students Who Study Part Time,resource,,,no,none,low,skip
/resources/pay-for-college-usa-international-student,pay-for-college-usa-international-student,How to Pay for College in the USA as an International Student,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/personal-statement-mistakes-international-students,personal-statement-mistakes-international-students,Top Scholarship Personal Statement Mistakes International Students Make and How to Avoid Them,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/prepare-scholarship-financial-documents-international-student,prepare-scholarship-financial-documents-international-student,How to Prepare Scholarship Financial Documents as an International Student,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/public-health-scholarships-for-international-students-usa,public-health-scholarships-for-international-students-usa,Comprehensive Guide to Public Health Scholarships for International Students in the USA,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/public-health-scholarships-international-students,public-health-scholarships-international-students,Scholarships for International Students in Public Health Programs,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/qualcomm-innovation-fellowship-international-students,qualcomm-innovation-fellowship-international-students,"Qualcomm Innovation Fellowship for International Students: Eligibility, Benefits, and How to Apply",resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/qualify-departmental-scholarships-usa,qualify-departmental-scholarships-usa,How College Students Can Qualify for Departmental Scholarships in the USA,resource,,,no,none,low,skip
