"source_name","status_in_customer_package","row_count","package_path","data_category","already_used_on_scholarshiptop","current_usage","could_use_for_scholarshiptop","best_page_targets","possible_fields_to_use","implementation_type","priority","risk","permission_status","recommended_action","notes"
"APDCRS","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"Probationary Accreditation list","PARTIAL_LOCAL","17408","04_data_deliverable\01_legacy_supabase_exports\acgme_ads_public_discovery","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","medium","permission_received_per_user_statement","blocked/manual","Do not use until access/export/legal status is resolved."
"Withdrawn Programs list","PARTIAL_LOCAL","17408","04_data_deliverable\01_legacy_supabase_exports\acgme_ads_public_discovery","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","medium","permission_received_per_user_statement","blocked/manual","Do not use until access/export/legal status is resolved."
"Newly Accredited Programs list","PARTIAL_LOCAL","17408","04_data_deliverable\01_legacy_supabase_exports\acgme_ads_public_discovery","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","medium","permission_received_per_user_statement","blocked/manual","Do not use until access/export/legal status is resolved."
"RTP-Designated Programs","PARTIAL_LOCAL","17408","04_data_deliverable\01_legacy_supabase_exports\acgme_ads_public_discovery","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","medium","permission_received_per_user_statement","blocked/manual","Do not use until access/export/legal status is resolved."
"Osteopathic Recognition Programs","PARTIAL_LOCAL","17408","04_data_deliverable\01_legacy_supabase_exports\acgme_ads_public_discovery","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","medium","permission_received_per_user_statement","blocked/manual","Do not use until access/export/legal status is resolved."
"NRMP data.json","CLOSED_SUPABASE_EXPORTED_LOCALLY","28225","04_data_deliverable\01_legacy_supabase_exports\nrmp","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"ACGME ADS — RTP report","PARTIAL_LOCAL","17408","04_data_deliverable\01_legacy_supabase_exports\acgme_ads_public_discovery","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","medium","permission_received_per_user_statement","blocked/manual","Do not use until access/export/legal status is resolved."
"ACGME ADS — Osteopathic Recognition","PARTIAL_LOCAL","17408","04_data_deliverable\01_legacy_supabase_exports\acgme_ads_public_discovery","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","medium","permission_received_per_user_statement","blocked/manual","Do not use until access/export/legal status is resolved."
"FREIDA field_special_tracks","CLOSED_LOCAL_PACKAGE_READY","11217","04_data_deliverable\02_local_normalized_sources\freida","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"Program websites","NOT_STARTED","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"ABIM Research Pathway","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"NPPES Bulk Download","CLOSED_LOCAL_PACKAGE_READY","1927780","package evidence/manifest or no normalized deliverable located","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use later","long local-only run completed; organization-provider normalized JSONL included in newly collected package"
"CMS Hospital General Info","CLOSED_SUPABASE_EXPORTED_LOCALLY","5432","04_data_deliverable\01_legacy_supabase_exports\cms_hospital_general_information","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use later","clean .jsonl.gz export included"
"CMS Teaching Hospital List","CLOSED_SUPABASE_EXPORTED_LOCALLY","1496","04_data_deliverable\01_legacy_supabase_exports\cms_teaching_hospital_list","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use later","clean .jsonl.gz export included"
"CMS HCRIS","CLOSED_SUPABASE_EXPORTED_LOCALLY","66905","04_data_deliverable\01_legacy_supabase_exports\cms_hospital_cost_report_hcris","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use later","clean .jsonl.gz export included"
"CMS Provider Data Catalog","CLOSED_LOCAL_PACKAGE_READY","753766","04_data_deliverable\01_legacy_supabase_exports\cms_hospital_hcahps","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use later","clean local normalized artifact included or ready in package"
"NIH RePORTER API v2","CLOSED_LOCAL_PACKAGE_READY","2503896","04_data_deliverable\03_newly_collected_sources\nih_reporter","research/institution","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/compare/universities/[slug]; /providers/[id]; future medical school pages; structured data identifiers","organization, project_count, funding totals by year, activity codes, institute/center, project titles aggregated only","compare_page_enrichment","medium","medium","permission_received_per_user_statement","use later","Huge file; aggregate by institution/year before adding to site."
"OpenAlex API","CLOSED_LOCAL_PACKAGE_READY","6754","04_data_deliverable\02_local_normalized_sources\openalex","research/institution","yes","Live as research_signal/openalex_id joins in school_enrichment.json; surfaced in university compare school cards where matched.","yes","/compare/universities/[slug]; /providers/[id]; future medical school pages; structured data identifiers","openalex_id, ror_id, works_count, cited_by_count, institution_type, homepage_url","already_live","high","medium","permission_received_per_user_statement","use now","Already represented in Stage A/B/C static outputs. clean local normalized artifact included or ready in package"
"ClinicalTrials.gov API v2","CLOSED_LOCAL_PACKAGE_READY","192172","04_data_deliverable\02_local_normalized_sources\clinicaltrials_gov","research/institution","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/compare/universities/[slug]; /providers/[id]; future medical school pages; structured data identifiers","source-specific fields require downstream shaping before display","compare_page_enrichment","medium","low","permission_received_per_user_statement","use later","clean local normalized artifact included or ready in package"
"AAMC COTH List","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"NCI Cancer Centers","CLOSED_SUPABASE_EXPORTED_LOCALLY","74","04_data_deliverable\02_local_normalized_sources\nci_cancer_centers","research/institution","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/compare/universities/[slug]; /providers/[id]; future medical school pages; structured data identifiers","source-specific fields require downstream shaping before display","compare_page_enrichment","medium","low","permission_received_per_user_statement","use now","clean .jsonl.gz export included"
"ANCC Magnet","CLOSED_LOCAL_PACKAGE_READY","663","04_data_deliverable\03_newly_collected_sources\ancc_magnet","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use now","official ANCC XLSX export parsed and included in package; page displayed 665 facilities"
"ACS Trauma Centers","CLOSED_LOCAL_PACKAGE_READY","606","04_data_deliverable\02_local_normalized_sources\acs_trauma","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use now","clean local normalized artifact included or ready in package"
"Joint Commission","PARTIAL_LOCAL","10000","04_data_deliverable\02_local_normalized_sources\joint_commission","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","medium","medium","permission_received_per_user_statement","use later","see report"
"Leapfrog Hospital Safety","CLOSED_LOCAL_PACKAGE_READY","2832","04_data_deliverable\02_local_normalized_sources\leapfrog","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use now","clean local normalized artifact included or ready in package"
"ACS Commission on Cancer (CoC)","CLOSED_LOCAL_PACKAGE_READY","1323","04_data_deliverable\02_local_normalized_sources\acs_coc","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use now","clean local normalized artifact included or ready in package"
"UNOS/OPTN","CLOSED_LOCAL_PACKAGE_READY","848","04_data_deliverable\02_local_normalized_sources\unos_optn","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use now","clean local normalized artifact included or ready in package"
"STS Public Reporting","CLOSED_LOCAL_PACKAGE_READY","929","04_data_deliverable\02_local_normalized_sources\sts_public_reporting","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use now","clean local normalized artifact included or ready in package"
"FDA MQSA","CLOSED_SUPABASE_EXPORTED_LOCALLY","9097","04_data_deliverable\01_legacy_supabase_exports\fda_mqsa","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use now","clean .jsonl.gz export included"
"HRC Healthcare Equality Index","CLOSED_LOCAL_PACKAGE_READY","2324","04_data_deliverable\02_local_normalized_sources\hrc_hei","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use now","clean local normalized artifact included or ready in package"
"ProPublica Nonprofit Explorer","CLOSED_LOCAL_PACKAGE_READY","1293","04_data_deliverable\02_local_normalized_sources\propublica_nonprofit","nonprofit/funding","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; provider credibility blocks; future funding/provider clusters","ein, organization_name, revenue, assets, ruling_year, ntee_code, filing links/counts","provider_enrichment","medium","medium","permission_received_per_user_statement","use later","Good provider credibility signal; avoid copying or quoting filings extensively."
"AHRQ Compendium of US Health Systems","CLOSED_LOCAL_PACKAGE_READY","7439","04_data_deliverable\02_local_normalized_sources\ahrq_compendium","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use now","clean local normalized artifact included or ready in package"
"HRSA THCGME Awardees","CLOSED_LOCAL_PACKAGE_READY","278","04_data_deliverable\02_local_normalized_sources\hrsa_thcgme","nonprofit/funding","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; provider credibility blocks; future funding/provider clusters","source-specific fields require downstream shaping before display","provider_enrichment","medium","low","permission_received_per_user_statement","use now","clean local normalized artifact included or ready in package"
"NCATS CTSA","CLOSED_LOCAL_PACKAGE_READY","66","04_data_deliverable\02_local_normalized_sources\ncats_ctsa","research/institution","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/compare/universities/[slug]; /providers/[id]; future medical school pages; structured data identifiers","source-specific fields require downstream shaping before display","compare_page_enrichment","medium","low","permission_received_per_user_statement","use now","clean local normalized artifact included or ready in package"
"SSH Simulation Accreditation","PARTIAL_LOCAL","n/a","package evidence/manifest or no normalized deliverable located","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","medium","permission_received_per_user_statement","blocked/manual","Do not use until access/export/legal status is resolved."
"OIG LEIE","CLOSED_LOCAL_PACKAGE_READY","n/a","04_data_deliverable\03_newly_collected_sources\oig_leie","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","organization name, location, identifiers, ownership/type, quality/designation fields where appropriate","provider_enrichment","medium","medium","permission_received_per_user_statement","use now","clean local normalized artifact included or ready in package"
"VA Facility List","CLOSED_LOCAL_PACKAGE_READY","2137","04_data_deliverable/03_newly_collected_sources/va_facility_list","provider/organization","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/providers/[id]; future provider clusters; future medical/provider compare","facility name, station id, city, state, services, lat/lng","provider_enrichment","medium","medium","permission_received_per_user_statement","use later","clean local normalized artifact included or ready in package"
"US News Best Hospitals","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"FSMB State Medical Board Data","PARTIAL_LOCAL","69","04_data_deliverable\03_newly_collected_sources\fsmb_state_medical_boards","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","medium","medium","permission_received_per_user_statement","use later","Official FSMB state medical board URL/contact layer collected; fees/CME/IMG policy fields still require per-board website pass."
"AAMC Physician Workforce Dashboard","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"AAMC Report on Residents (Tables C4–C6)","CLOSED_LOCAL_PACKAGE_READY","1575","04_data_deliverable\03_newly_collected_sources\aamc_report_residents_2025","salary/workforce","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/compare/states/[slug]; resource pages; essay examples; future workforce/medical scholarship pages","source-specific fields require downstream shaping before display","static_json_extension","medium","low","permission_received_per_user_statement","use later","AAMC official Excel tables downloaded and normalized locally; 9 workbooks"
"BLS OES","CLOSED_SUPABASE_EXPORTED_LOCALLY","150176","04_data_deliverable\01_legacy_supabase_exports\bls_metro","salary/workforce","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/compare/states/[slug]; resource pages; essay examples; future workforce/medical scholarship pages","employment, annual_median_wage, annual_mean_wage, occupation, area, release","static_json_extension","medium","low","permission_received_per_user_statement","use later","clean .jsonl.gz export included"
"HRSA HPSA designations","CLOSED_LOCAL_PACKAGE_READY","163973","04_data_deliverable/03_newly_collected_sources/hrsa_hpsa","health/social_context","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/scholarships/[state]; future city pages; resources/essays; future medical pages","designation type, discipline, county/state, score, status, shortage area","static_json_extension","medium","medium","permission_received_per_user_statement","use later","clean local normalized artifact included or ready in package"
"AANP State Practice Environment","CLOSED_LOCAL_PACKAGE_READY","56","04_data_deliverable\03_newly_collected_sources\aanp_state_practice","salary/workforce","no","Not currently wired into ScholarshipTop static enrichment outputs.","yes","/compare/states/[slug]; resource pages; essay examples; future workforce/medical scholarship pages","source-specific fields require downstream shaping before display","static_json_extension","medium","low","permission_received_per_user_statement","use now","official AANP mapdata parsed and included in package"
"Conrad 30 J-1 Waiver","NOT_STARTED","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
