source_type,source_id,locale,status,translated_title,translated_meta_title,translated_meta_description,quality_score,published_at,source_hash
"scholarship_category","law","es","published","Becas Derecho","Becas Derecho 2026 – Solicita en línea","Explora becas de derecho con plazos, importes, GPA y elegibilidad. Encuentra becas que puedas solicitar hoy.","90","2026-05-21T12:49:39.605Z","58ecedae72c7831f6b4163f5897fdaf463f3cd4f6bb61c62339f40af39337889"
"scholarship_category","law","fr","published","Bourses Droit","Bourses Droit 2026 – Postuler en ligne","Parcourez les bourses droit : dates, montants, GPA et éligibilité.","90","2026-05-21T12:49:39.605Z","58ecedae72c7831f6b4163f5897fdaf463f3cd4f6bb61c62339f40af39337889"
"scholarship_category","community","es","published","Becas Comunidad","Becas Comunidad 2026 – Solicita en línea","Explora becas de comunidad con plazos, importes, GPA y elegibilidad. Encuentra becas que puedas solicitar hoy.","90","2026-05-21T12:49:39.605Z","936183f4e3d1578dc9eaa72e4228fdfb5e043251f369e177dc4a75f9d7c7855b"
"scholarship_category","community","fr","published","Bourses Communauté","Bourses Communauté 2026 – Postuler en ligne","Parcourez les bourses communauté : dates, montants, GPA et éligibilité.","90","2026-05-21T12:49:39.605Z","936183f4e3d1578dc9eaa72e4228fdfb5e043251f369e177dc4a75f9d7c7855b"
"scholarship_category","biology","es","published","Becas Biología","Becas Biología 2026 – Solicita en línea","Explora becas de biología con plazos, importes, GPA y elegibilidad. Encuentra becas que puedas solicitar hoy.","90","2026-05-21T12:49:39.605Z","fbb3ff538dd51d1908748ed44157e5528b48f900f2652408827bf189dc82bf6e"
"scholarship_category","biology","fr","published","Bourses Biologie","Bourses Biologie 2026 – Postuler en ligne","Parcourez les bourses biologie : dates, montants, GPA et éligibilité.","90","2026-05-21T12:49:39.605Z","fbb3ff538dd51d1908748ed44157e5528b48f900f2652408827bf189dc82bf6e"
"scholarship_category","safety","es","published","Becas de seguridad","Becas de seguridad 2026 – Solicita en línea","Explora becas en seguridad laboral, salud pública, emergencias, higiene industrial y gestión de riesgos. Compara plazos y elegibilidad.","90","2026-05-21T12:49:39.605Z","90df8c8afb0243303562a58fdd4da4964e0c90c427d22ff67ba5dca2ff6dad53"
"scholarship_category","safety","fr","published","Bourses sécurité","Bourses sécurité 2026 – Postuler en ligne","Parcourez les bourses en sécurité au travail, santé publique, urgences, hygiène industrielle et gestion des risques.","90","2026-05-21T12:49:39.605Z","90df8c8afb0243303562a58fdd4da4964e0c90c427d22ff67ba5dca2ff6dad53"
"scholarship_category","music","es","published","Becas de música","Becas de música 2026 – Solicita en línea","Explora becas de música con plazos, importes, GPA y elegibilidad. Encuentra becas para instrumentistas, composición y educación musical.","90","2026-05-21T12:49:39.605Z","ea16ebce33271a51741b07a1728b2f54d595fbd3bed73386f17287f18e692bfa"
"scholarship_category","music","fr","published","Bourses musique","Bourses musique 2026 – Postuler en ligne","Parcourez les bourses musique : dates, montants, GPA et éligibilité pour instrumentistes, composition et enseignement musical.","90","2026-05-21T12:49:39.605Z","ea16ebce33271a51741b07a1728b2f54d595fbd3bed73386f17287f18e692bfa"
"scholarship_category","disability","es","published","Becas Discapacidad","Becas Discapacidad 2026 – Solicita en línea","Explora becas de discapacidad con plazos, importes, GPA y elegibilidad. Encuentra becas que puedas solicitar hoy.","90","2026-05-21T12:49:39.605Z","67ceb318c15db33d8fe31253687f539b74316e66c85119d5254ab5937b6f7701"
"scholarship_category","disability","fr","published","Bourses Handicap","Bourses Handicap 2026 – Postuler en ligne","Parcourez les bourses handicap : dates, montants, GPA et éligibilité.","90","2026-05-21T12:49:39.605Z","67ceb318c15db33d8fe31253687f539b74316e66c85119d5254ab5937b6f7701"
