batch_number,slug,scholarship_uuid,title,provider,amount,deadline,source_url_present,indexable_en,risk_score,include_yes_no,reason
"8","donald-geraldine-beam-award-at-university-of-waterloo-2026-donald-geraldine-beam-award-at-u","fd84b718-0635-40f1-a9c1-9fc3c45fb859","Donald & Geraldine Beam Award at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, Varies","31 May, 2026","yes","yes","0","yes","indexable with stable fields"
"8","dimarco-graduate-scholarship-in-computational-rhetoric-at-university-of--dimarco-graduate-scholarship-in-","95e77599-28a6-4c9f-93c6-480da8faaebf","DiMarco Graduate Scholarship in Computational Rhetoric at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, CAD 2,500","15 Oct, 2026","yes","yes","0","yes","indexable with stable fields"
"8","desmond-fonn-contact-lens-research-award-at-university-of-waterloo-2026-desmond-fonn-contact-lens-resear","c2156bd2-c957-425d-a049-2eb0e425579b","Desmond Fonn Contact Lens Research Award at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, CAD 4,000","31 May, 2026","yes","yes","0","yes","indexable with stable fields"
"9","fox-family-scholarship-vjp0ku0i0p3u","37683384-f60f-4219-83d6-82f9de44d9d1","Fox Family Scholarship","Berrien Community Foundation","2,000","2/1/2027","yes","yes","0","yes","indexable with stable fields"
"9","bryce-boothby-family-scholarship-v7egm4ie3lrr","b2245fc8-dc2c-4c69-bd77-ad193283abb7","Bryce Boothby Family Scholarship","Berrien Community Foundation","1,000","2/1/2027","yes","yes","0","yes","indexable with stable fields"
"9","beulah-short-memorial-scholarship-twk88byvy8vt","c6f0c285-a296-4acb-a06d-8809dc4bc73a","Beulah Short Memorial Scholarship","Community Foundation of Greater Flint","500","3/15/2027","yes","yes","0","yes","indexable with stable fields"
"9","all-god-s-children-community-choir-scholarship-ti2tbeqyxz4o","d1290fbc-49e2-4df8-bca0-20719622e2e1","All God’s Children Community Choir Scholarship","Berrien Community Foundation","10,000","2/1/2027","yes","yes","0","yes","indexable with stable fields"
"9","st-joseph-class-of-1970-scholarship-shp7u6tqojhr","0a51586e-e3ce-440e-8ae6-923fd6fc5274","St. Joseph Class of 1970 Scholarship","Berrien Community Foundation","1,000","2/1/2027","yes","yes","0","yes","indexable with stable fields"
"9","leslie-g-ames-scholarship-sbpkkttbwz0t","0754be1b-214f-4152-ba66-cad73d5e8898","Leslie G. Ames Scholarship","Community Foundation of Greater Flint","1,000 - 2,000","3/15/2027","yes","yes","0","yes","indexable with stable fields"
"9","sophia-l-waldbauer-scholarship-re1saboedceh","94e6c1bd-b3fc-4f58-b1e3-ed70e149d048","Sophia L. Waldbauer Scholarship","Community Foundation of Greater Flint","3,000 - 4,000","3/15/2027","yes","yes","0","yes","indexable with stable fields"
"9","marion-and-dan-crossman-scholarship-r793gryit7ju","9a409297-7228-4602-8f46-50081ab12c1a","Marion and Dan Crossman Scholarship","Berrien Community Foundation","2,000","2/1/2027","yes","yes","0","yes","indexable with stable fields"
"9","bob-emerson-scholarship-p45kwpnol7xb","0130f8a4-749c-4714-bc32-83720de0b378","Bob Emerson Scholarship","Community Foundation of Greater Flint","1,000","1/20/2027","yes","yes","0","yes","indexable with stable fields"
"9","david-paul-petro-scholarship-n7p16jh8a37f","578a1f43-c9d0-4b62-80b8-c20be6b0c3ac","David Paul Petro Scholarship","Community Foundation of Greater Flint","2,500","3/15/2027","yes","yes","0","yes","indexable with stable fields"
"10","justin-jubbs-kosak-memorial-award-mlrpaseo8kts","8beab35d-3111-425a-a94b-f06e1e0e1059","Justin “Jubbs” Kosak Memorial Award","Community Foundation of Greater Flint","2,500","3/15/2027","yes","yes","0","yes","indexable with stable fields"
"10","howard-d-merchant-memorial-scholarship-mh15pxeog1xm","d400696e-4bbb-49d9-95b4-948577021d05","Howard D. Merchant Memorial Scholarship","Berrien Community Foundation","4,000","2/1/2027","yes","yes","0","yes","indexable with stable fields"
"10","coach-u-scholarship-lb3sv3w5kwxs","2005c444-ae73-4778-88c1-b6918f9cbac9","Coach U Scholarship","Berrien Community Foundation","1,000","2/1/2027","yes","yes","0","yes","indexable with stable fields"
"10","drews-scholarship-kylpi7q8yzyi","35c4d275-5e08-41ba-9a43-1ad4f337d5a2","Drews Scholarship","Berrien Community Foundation","10,000","2/1/2027","yes","yes","0","yes","indexable with stable fields"
"10","felland-scholarship-kf8qwdjabwfv","f0dacc6f-28eb-49f3-9d72-182cb8ddc304","Felland Scholarship","Berrien Community Foundation","5,000","2/1/2027","yes","yes","0","yes","indexable with stable fields"
"10","amsterdam-merit-scholarship-ams-2026","46a0b54d-a148-4534-a886-0a2e53af03e1","Amsterdam Merit Scholarship (AMS) 2026","University of Amsterdam","Full funding","01 Nov 2026","yes","yes","0","yes","indexable with stable fields"
"10","porritt-family-memorial-scholarship-for-curious-kids-kcqags8b8yr8","893bf8a8-5e6e-40b6-895b-668594efc652","Porritt Family Memorial Scholarship for Curious Kids","Berrien Community Foundation","1,000","2/1/2027","yes","yes","0","yes","indexable with stable fields"
"10","jon-and-chenai-gillispie-trades-scholarship-kcnuh3jlh5uh","6bab34fa-1240-4252-9d24-c14f3eb5fa32","Jon and Chenai Gillispie Trades Scholarship","Berrien Community Foundation","1,000","2/1/2027","yes","yes","0","yes","indexable with stable fields"
"10","dunn-scholarship-jxkrszsgjczc","48b49fd8-1d2c-44b1-83c1-004b91448af6","Dunn Scholarship","Berrien Community Foundation","1,000 - 5,000","2/1/2027","yes","yes","0","yes","indexable with stable fields"
"10","zonta-club-of-flint-i-scholarship-iik0yshl43yy","41cbb27c-0cfd-40e5-ad30-e8cd6cef92a9","Zonta Club of Flint I Scholarship","Community Foundation of Greater Flint","1,000 - 2,000","3/15/2027","yes","yes","0","yes","indexable with stable fields"
