batch_number,slug,scholarship_uuid,title,provider,amount,deadline,category,source_url_present,indexable_en,risk_score,include_yes_no,reason,expected_translation_complexity
"2","alpert-lynn-and-fredric-distinguished-education-scholarship-at-umass-dar-alpert-lynn-and-fredric-distingu","24f6615c-ee46-41e8-aa43-629dc905adac","Alpert, Lynn and Fredric Distinguished Education Scholarship at UMass Dartmouth 2026","University of Massachusetts Dartmouth","Partial Funding, Varies","01 Aug, 2026","education","yes","yes","0","yes","indexable with stable fields","medium"
"2","adaskin-ethel-edward-scholarship-at-university-of-massachusetts-dartmout-adaskin-ethel-edward-scholarship","c6940d81-f338-4aac-ade3-adbd604e079e","Adaskin, Ethel & Edward Scholarship at University of Massachusetts Dartmouth 2026","University of Massachusetts Dartmouth","Partial Funding, Varies","01 Aug, 2026","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"2","beiling-wu-prize-in-writing-at-northwestern-university-2026-beiling-wu-prize-in-writing","7c7a898e-8e0f-4fa0-a784-8f45975c43de","Beiling Wu Prize in Writing at Northwestern University 2026","Northwestern University","Partial Funding, USD 1,000","06 Jul, 2026","arts","yes","yes","0","yes","indexable with stable fields","medium"
"2","uts-academic-excellence-international-scholarship-2026-postgraduate-academic-excellence","80774c16-66e6-47e3-a3d2-458ec2165fac","UTS Academic Excellence International Scholarship 2026","University of Technology Sydney (UTS)","Only tuition fees, 30% of tuition fees","31 May, 2026","stem","yes","yes","0","yes","indexable with stable fields","medium"
"2","apache-corporation-endowed-scholarship-at-the-american-university-in-cai-apache-corporation-endowed-schol","97d5251b-6a95-432e-bee8-8a64556a7a24","Apache Corporation Endowed Scholarship at The American University in Cairo 2026","The American University in Cairo","Partial Funding, varies","31 May, 2026","stem","yes","yes","0","yes","indexable with stable fields","medium"
"2","stevens-frank-s-scholarship-at-university-of-massachusetts-dartmouth-202-stevens-frank-s-scholarship-at-u","25149fc9-0922-40c1-8379-6eb52a227e91","Stevens, Frank S. Scholarship at University of Massachusetts Dartmouth 2026","University of Massachusetts Dartmouth","Partial Funding, Varies","01 Aug, 2026","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"2","ualbany-book-grant-transfer-at-university-at-albany-2026-ualbany-book-grant-transfer-at-u","16a6c40a-69ac-45ee-932e-d36928350a1e","UAlbany Book Grant (Transfer) at University at Albany 2026","University at Albany, SUNY Albany","Partial Funding, Varies","31 May, 2026","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"2","la-trobe-access-scholarship-at-la-trobe-university-2026-la-trobe-access-scholarship","a268513c-3b74-4259-86dd-98d9778c1e04","La Trobe Access Scholarship at La Trobe University 2026","La Trobe University, Melbourne","Partial Funding, Varies","28 Jun, 2026","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"3","david-nimmo-english-graduate-scholarship-at-university-of-waterloo-2026-david-nimmo-english-graduate-sch","a8d903ff-747d-42be-bd91-ed027492f62f","David Nimmo English Graduate Scholarship at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, CAD 2,000","31 May, 2026","arts","yes","yes","0","yes","indexable with stable fields","medium"
"3","david-holden-memorial-scholarship-at-university-of-waterloo-2026-david-holden-memorial-scholarshi","3cf4c931-e105-421a-bac9-3428eb9a5c6e","David Holden Memorial Scholarship at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, CAD 1,000","31 May, 2026","education","yes","yes","0","yes","indexable with stable fields","medium"
"3","smu-merit-scholarship-programme-2026-smu-merit-scholarship-programme","cb11762f-d8e9-47ed-aa21-a184ae64019e","SMU Merit Scholarship Programme 2026","Singapore Management University","Full Funding, tuition fee + SGD 12,000 allowance + other benefits","31 May, 2026","community","yes","yes","0","yes","indexable with stable fields","medium"
"3","shirin-fozdar-scholarship-at-smu-2026-shirin-fozdar-scholarship","b6e1c683-a8ad-4b23-861e-7036e1091f07","Shirin Fozdar Scholarship at SMU 2026","Singapore Management University","Partial Funding, SGD 25,000 per year","31 May, 2026","community","yes","yes","0","yes","indexable with stable fields","medium"
"3","ng-kai-wa-scholarship-at-singapore-management-university-2026-ng-kai-wa-scholarship","412201ca-0b36-45ff-bc10-55c130af92a5","Ng Kai Wa Scholarship at Singapore Management University 2026","Singapore Management University","Only tuition fees, up to SGD 7,500 per annum","31 May, 2026","education","yes","yes","0","yes","indexable with stable fields","medium"
"3","sids-scholarships-in-water-and-sustainable-development-at-ihe-delft-29181","291571f3-845a-4568-b549-8de6fe543c69","SIDS Scholarships in Water and Sustainable Development at IHE Delft","IHE Delft","There are full and partial scholarships available. The full scholarships include the total cost of the MSc Programme in Water and Sustainable Development: Tuition fee, insurance, international travel cost and an allowance of EURO 1,220 per month for the cost of living and accommodation during the complete study period.","1 June 2026 (annual)","disability","yes","yes","0","yes","indexable with stable fields","medium"
"3","jlfo-lim-hoon-foundation-scholarship-at-singapore-management-university--lim-hoon-foundation-scholarship","7c91b67c-6d40-4bd8-ac7b-6c965abc5608","JLFO-Lim Hoon Foundation Scholarship at Singapore Management University at 2026","Singapore Management University","Partial Funding, SGD 10,000 per annum","31 May, 2026","stem","yes","yes","0","yes","indexable with stable fields","medium"
"3","school-of-law-liberty-scholarships-at-university-of-leeds-2026-university-of-leeds-liberty-scho","f50bc8b8-1a17-48be-b5e4-1b8e33746c26","School of Law Liberty Scholarships at University of Leeds 2026","University of Leeds","Partial Funding, GBP 3,000","31 May, 2026","law","yes","yes","0","yes","indexable with stable fields","medium"
"3","mangoletsi-potts-scholarship-at-univrsity-of-leeds-2026-mangoletsipotts-scholarship-at-u","9195ad12-ce1c-4e56-a5f3-a7c3e998e7f3","Mangoletsi-Potts Scholarship at Univrsity of Leeds 2026","University of Leeds","Only tuition fees, 100% for UK applicants and partial for other applicants","31 May, 2026","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"3","global-governance-doctoral-fellowship-at-university-of-waterloo-2026-global-governance-doctoral-fello","a173c56f-a9be-4a66-8688-aa51954a26a3","Global Governance Doctoral Fellowship at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, Ranges from CAD $25,000 to CAD $35,000","10 Jun, 2026","arts","yes","yes","0","yes","indexable with stable fields","medium"
"4","carolyn-b-hayes-business-administration-scholarship-at-lucas-college-of--linda-f-morasch-business-scholar","594b4351-adc0-4d32-8e5e-b5898c2a9046","Carolyn B. Hayes Business Administration Scholarship at Lucas College of Business 2026","San Jose State University (SJSU)","Partial Funding, Varies","31 May, 2026","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"4","sir-edmund-hillary-scholarship-at-university-of-waikato-2026-sir-edmund-hillary-scholarship","e78c73f8-0941-4a29-8298-cfc5cef100f8","Sir Edmund Hillary Scholarship at University of Waikato 2026","University of Waikato","Partial Funding, up to NZD 30,000","31 Aug, 2026","arts","yes","yes","0","yes","indexable with stable fields","medium"
"4","ifk-research-fellowships-at-international-research-center-for-cultural-s-ifk-research-fellowships","b0d0d061-e703-419f-94d6-524f55156f83","IFK Research Fellowships at International Research Center for Cultural Studies University of Art and Design Linz 2026","International Research Center for Cultural Studies","Partial Funding, Up to EUR 2,387 monthly + other benefits","05 Jul, 2026","arts","yes","yes","0","yes","indexable with stable fields","medium"
"4","ggc-top-honors-scholarship-2026-ggc-top-honors-scholarship-in-us","fa10f09f-2d07-40e8-809b-42160555ed18","GGC Top Honors Scholarship 2026","Georgia Gwinnett College","Partial Funding, USD 1,000 annually","01 Dec, 2026","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"4","breakthrough-junior-challenge-breakthrough-junior-challenge","e2e1b1cf-3568-4dc6-888b-44799508c9cf","Breakthrough Junior Challenge","Breakthrough","award worth $250,000","September 15, 2026","stem","yes","yes","0","yes","indexable with stable fields","medium"
"4","forever-surrey-scholarship-at-university-of-surrey-2026-forever-surrey-scholarship-at-un","437aa33f-eb9e-4ce9-ba3a-5b895cf1c61a","Forever Surrey Scholarship at University of Surrey 2026","University of Surrey","Partial Funding, Up to GBP 4,000 per year","05 Oct, 2026","education","yes","yes","0","yes","indexable with stable fields","medium"
"4","university-of-new-south-wales-unsw-international-scholarships-2026-in-australia","aabc945b-0e33-451c-af99-81a49835c907","University of New South Wales (UNSW) International Scholarships 2026 in Australia","University of New South Wales","Full funding","18 Jun 2026","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"4","financial-empowerment-scholarship-financial-empowerment-scholarshi","472b3027-5657-4ae2-83f3-bf270b6f4ad0","Financial Empowerment Scholarship","BM Technologies, Inc (BMTX)","award worth $1,500","May 30, 2026","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"4","milestone-trial-lawher-scholarship-2026-2026-05-18-milestone-trial-lawhe","0b068b0c-49b8-45f8-b4e3-519bda552c7a","Milestone Trial LawHER Scholarship 2026","Opportunity Desk","Awards will be granted as follows: Up to one (1) award of $25,000 will be granted. Up to two (2) awards of $10,000 will be granted. Eligbility Applicants to the Milestone Trial LawHer Scholarship must: Be enrolled in either a 2L or 3L law school program and plan to become a plaintiff trial lawyer. Plan to enroll in a full-time ABA-accredited law school program for the entire upcoming academic year. Be a U.S. citizen or permanent resident who self-identifies as female. Have a minimum grade point average of 3.5 on a 4.0 scale (or its equivalent). Milestone employees and their family members are not eligible. Selection Criteria Selection of Finalists Scholarship finalists are selected on the basis of: Academic performance Demonstrated leadership and participation in school and community activities Work experience A statement of educational and career goals and objectives Unusual personal or family circumstances Selection of finalists is made by Scholarship America. Selection of Recipients Scholarship recipients are selected on the basis of: The response to a video essay The response to a written essay Selection of recipients is made by Milestone.","May 27, 2026","education","yes","yes","0","yes","indexable with stable fields","medium"
"4","de-suantio-bursary-at-singapore-management-university-2026-de-suantio-scholarship","da798d21-4889-4e9f-91f4-f72c79ba8076","De Suantio Bursary at Singapore Management University 2026","Singapore Management University","Partial Funding, SGD 10,000","31 May, 2026","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"5","david-gerard-conroy-engineering-graduate-scholarship-at-university-of-wa-david-gerard-conroy-engineering-","1666fc58-d4b2-4f9a-a309-a1be9afc146b","David Gerard Conroy Engineering Graduate Scholarship at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, Varies","31 May, 2026","stem","yes","yes","0","yes","indexable with stable fields","medium"
"5","david-beltz-memorial-award-at-university-of-waterloo-2026-david-beltz-memorial-award-at-un","f97a8020-102b-4a97-b98d-6fefa61e5ffd","David Beltz Memorial Award at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, CAD 150","31 May, 2026","humanities","yes","yes","0","yes","indexable with stable fields","medium"
"5","dan-watt-scholarship-at-university-of-waterloo-2026-dan-watt-scholarship-at-universi","77a7847d-ebf3-4c21-8582-dd3a7db9f981","Dan Watt Scholarship at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, CAD 1,500","31 May, 2026","humanities","yes","yes","0","yes","indexable with stable fields","medium"
"5","scholarship-in-aesthetics-at-bard-college-berlin-2026","eea34f44-ede0-4087-b487-0775af516384","Scholarship in Aesthetics at Bard College Berlin 2026","Bard College","Partial funding","15 Oct 2026","arts","yes","yes","0","yes","indexable with stable fields","medium"
"5","d-a-sprott-entrance-award-at-university-of-waterloo-2026-da-sprott-entrance-award-at-univ","e4b46889-3807-4f17-a1e2-0f4450cbd649","D.A. Sprott Entrance Award at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, CAD 1,000","31 May, 2026","stem","yes","yes","0","yes","indexable with stable fields","medium"
"5","aacap-educational-outreach-program-for-child-and-adolescent-residents-20-aacap-educational-outreach-progr","28a5c3f1-dc2a-4163-8819-476d0d118930","AACAP Educational Outreach Program For Child And Adolescent Residents 2026","American Academy of Child and Adolescent Psychiatry (AACAP)","Partial Funding, USD 1,200","02 Jun, 2026","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"5","harvard-university-mba-scholarship-2026-boustany-foundation-harvard-univ","595331a9-8338-4fd3-8dc0-569cd4aa6dcf","Harvard University MBA Scholarship 2026","Boustany Foundation","Partial Funding, Financial Aid + Travel expense + Accommodation","31 May, 2027","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"5","john-w-and-brigid-g-miller-law-school-scholarship-at-university-of-wisco-john-w-and-brigid-g-miller-law-s","a57f2426-4f2a-47e9-bbdd-f215c94a6056","John W. and Brigid G. Miller Law School Scholarship at University of Wisconsin 2026","University Of Wisconsin, Madison","Partial Funding, Varies","20 Jun, 2026","law","yes","yes","0","yes","indexable with stable fields","medium"
"5","university-of-auckland-top-achiever-scholarship-2026-university-of-auckland-top-achie","abe91b9e-f388-461e-8ee5-4544eb0b583b","University of Auckland Top Achiever Scholarship 2026","University of Auckland","Partial Funding, Up to NZD $27,000","12 Aug, 2026","education","yes","yes","0","yes","indexable with stable fields","medium"
"5","parents-learning-allowance-at-university-of-hull-2026-university-of-hull-parents-learn","4b2c29c9-e313-4c77-8a97-b94b3b8b9334","Parents Learning Allowance at University of Hull 2026","Government of the United Kingdom","Partial Funding, up to GBP 1,766 per year","20 Jun, 2026","education","yes","yes","0","yes","indexable with stable fields","medium"
