"URL","HTTP status","Robots meta","Canonical","Hreflang count","Title/H1 signal","Approx visible words","Recommended verdict","Notes"
"https://scholarshiptop.com/providers/alamo-colleges-foundation","200","indexable default","self","0","Alamo Colleges Foundation","1860","Keep index","Stronger provider context."
"https://scholarshiptop.com/es/providers/loyola-university-chicago","200","index, follow","self","4","Loyola University Chicago","1787","Keep index if translation quality-pass","Localized body/meta present; provider name remains proper noun."
"https://scholarshiptop.com/fr/providers/loyola-university-chicago","200","index, follow","self","4","Loyola University Chicago","1872","Keep index if translation quality-pass","Localized body/meta present."
"https://scholarshiptop.com/es/providers/not-a-real-provider-999999","404","noindex behavior","none","0","404","6","404/noindex","Correct no fallback."
"https://scholarshiptop.com/compare/scholarship-vs-grant","200","indexable default","self","4","Scholarship vs Grant","369","Keep index; improve depth","Useful static compare but shallow."
"https://scholarshiptop.com/compare/universities/austin-community-college-vs-loyola-university-chicago","200","indexable default","self","0","Austin Community College vs Loyola University Chicago","1611","Keep index if unique-data threshold passes","Good dynamic compare sample."
"https://scholarshiptop.com/compare/universities/loyola-university-chicago-vs-worcester-state-university","200","indexable default","self","0","Loyola University Chicago vs Worcester State University","1626","Keep index if unique-data threshold passes","Good dynamic compare sample."
"https://scholarshiptop.com/compare/states/california-vs-texas","200","indexable default","self","0","California vs Texas Scholarships","891","Keep index if unique-data threshold passes","Useful but should have quality policy."
"https://scholarshiptop.com/es/compare/states/california-vs-texas","200","index, follow","self","4","California vs Texas Scholarships","211","Noindex/follow until improved","Thin localized compare page."
"https://scholarshiptop.com/fr/compare/states/california-vs-texas","200","index, follow","self","4","California vs Texas Scholarships","223","Noindex/follow until improved","Thin localized compare page."
"https://scholarshiptop.com/resources/best-sites-to-find-fully-funded-scholarships","200","indexable default","self","0","Best Fully Funded Scholarship Websites","1237","Keep index","Strong AI-adjacent resource article."
"https://scholarshiptop.com/resources/how-to-verify-ai-generated-scholarship-lists","200","indexable default","self","0","How to Verify AI-Generated Scholarship Lists","1321","Keep index","Strong GEO/verification topic."
"https://scholarshiptop.com/resources/scholarship-search-checklist-using-ai","200","indexable default","self","0","Scholarship Search Checklist Using AI","1207","Keep index","Strong AI scholarship search topic."
"https://scholarshiptop.com/resources/how-to-use-ai-without-missing-scholarship-deadlines","200","indexable default","self","0","How to Use AI Without Missing Scholarship Deadlines","1363","Keep index","Strong deadline/AI verification topic."
"https://scholarshiptop.com/resources/best-ai-tools-for-finding-scholarships","200","indexable default","self","0","Best AI Tools for Finding Scholarships","1258","Keep index","High GEO potential."
"https://scholarshiptop.com/resources/scholarshiptop-vs-fastweb","200","indexable default","self","0","ScholarshipTop vs Fastweb","1082","Keep index if balanced","Comparison resource with search demand."
"https://scholarshiptop.com/es/resources/how-to-write-scholarship-essay-as-international-student","200","index, follow","self","4","Spanish localized resource","387","Improve; consider noindex until deeper","Localized metadata OK but content thin."
"https://scholarshiptop.com/fr/resources/how-to-write-scholarship-essay-as-international-student","200","index, follow","self","4","French localized resource","375","Improve; consider noindex until deeper","Localized metadata OK but content thin."
"https://scholarshiptop.com/es/resources/how-to-find-scholarships","200","indexable default","missing in sample","0","Spanish body; English fallback meta","326","Fix before index","No canonical/hreflang and English meta/OG fallback in sample."
"https://scholarshiptop.com/fr/resources/how-to-find-scholarships","200","indexable default","missing in sample","0","French body; English fallback meta","343","Fix before index","No canonical/hreflang and English meta/OG fallback in sample."
"https://scholarshiptop.com/essays/how-to-write-richard-scholarship-essay","200","indexable default","self","0","How to Write Richard Scholarship Essay","2440","Keep index if unique quality-pass","Strong DB essay sample; raw RSC included $undefined strings."
"https://scholarshiptop.com/essays/how-to-write-ballinger-scholarship-essay","200","indexable default","self","0","How to Write Ballinger Scholarship Essay","2700","Keep index if unique quality-pass","Strong DB essay sample."
"https://scholarshiptop.com/essays/how-to-write-bbb-scholarship-essay","200","indexable default","self","0","How to Write BBB Scholarship Essay","2917","Keep index if unique quality-pass","Strong DB essay sample."
"https://scholarshiptop.com/essays/checklist","200","indexable default","self","4","Scholarship Essay Checklist","392","Improve depth","Static guide is useful but thin."
"https://scholarshiptop.com/essays/outline","200","indexable default","self","4","Scholarship Essay Outline","397","Improve depth","Static guide is useful but thin."
"https://scholarshiptop.com/essays/leadership","200","indexable default","self","4","Leadership Scholarship Essay","365","Improve depth","Static guide is useful but thin."
"https://scholarshiptop.com/es/essays/how-to-write-richard-scholarship-essay","200","index, follow","self","4","English H1","286","Noindex/follow until improved","Thin localized page with English H1."
"https://scholarshiptop.com/fr/essays/how-to-write-richard-scholarship-essay","200","index, follow","self","4","English H1","288","Noindex/follow until improved","Thin localized page with English H1."
"https://scholarshiptop.com/es","200","indexable default","https://scholarshiptop.com/es","4","Spanish home","1115","Keep index","Healthy localized home."
"https://scholarshiptop.com/fr","200","indexable default","https://scholarshiptop.com/fr","4","French home","1149","Keep index","Healthy localized home."
"https://scholarshiptop.com/es/scholarships","200","index, follow","self","4","Mejores recomendaciones","286","Improve; maybe temporary noindex if quality target strict","English meta description fallback in sample."
"https://scholarshiptop.com/fr/scholarships","200","index, follow","self","4","Meilleures recommandations","299","Improve; maybe temporary noindex if quality target strict","English meta description fallback in sample."
