routeGroup,route,enExists,esExists,frExists,translatedUi,partialUi,indexPolicy,inSitemap,languageSwitcher,localeLinks,sameTemplate,risk,ready,notes
"Public/static SEO (pilot)","/resources/how-to-apply-for-scholarships-checklist","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/resources/no-essay-scholarships-guide","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/resources/easy-scholarships-guide","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/resources/stem-scholarships-guide","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/resources/scholarships-in-usa-for-international-students","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/resources/scholarships-for-high-school-seniors","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/resources/scholarship-eligibility-explained","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/resources/scholarship-documents-checklist","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/resources/how-to-apply-for-scholarships","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/resources/scholarship-deadlines-explained","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/resources/combine-multiple-scholarships","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/resources/medical-scholarships-guide","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/resources/scholarships-for-international-students-guide","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/terms","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/privacy-policy","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/refund-policy","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/help","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/faq","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/international-students","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/for-organizations","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/submit-grant","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Funnel","/get-scholarships","yes","yes","yes","yes","","noindex,follow","no","no","n/a","yes","low","yes",""
"Funnel","/signin","yes","yes","yes","yes","","noindex,follow","no","no","n/a","yes","low","yes",""
"Funnel","/subscription","yes","yes","yes","yes","","index (not in sitemap)","no","yes","n/a","yes","medium","yes","Lemon checkout EN by design"
"Funnel","/signup","yes","redirect","redirect","no","","varies","no","no","n/a","yes","medium","no","→ /onboarding EN"
"Private","/account","yes","yes (/es/account)","yes (/fr/account)","partial","profile form mostly EN","noindex,follow","no","no","n/a","yes","medium","partial","nav/back localized; form Stage 3M"
"Private","/onboarding","yes","no","no","partial","","noindex","no","no","n/a","yes","medium","partial","EN only route; shared copy fragments"
"Private","/essay","yes","no","no","no","","noindex","no","no","n/a","yes","medium","no","product EN — later"
"DB SEO","/scholarships/[slug]","yes","no","no","no","","index EN only","EN only","no","n/a","yes","medium","no","Zone C links allowed"
"DB SEO","/providers/[id]","yes","no","no","no","","varies","no","no","n/a","yes","medium","no",""
"DB SEO","/resources/[slug] CMS","yes","no","no","no","","varies","no","no","n/a","yes","medium","no",""
