pagePath,cardIndex,titleText,providerText,deadlineText,awardText,requirementsText,visibleChips,visibleButtons,hasSaveButton,hasNotRelevantButton,hasLockOrBlurVisual,snippetLength
/scholarships,0,Climate Stripes Scholarship,University of Reading,,is 10000 GBP. Plan to apply by 29 May 2026.,,,Save | Not relevant | Save | Not relevant,true,true,false,137
/scholarships/hub/best-matches,6,The Sekforde House Trust Scholarship,"City St George's, University of London",,is 22000 GBP. Plan to apply by 30 May 2026.,,,Save | Not relevant | Save | Not relevant,true,true,false,154
/scholarships/hub/best-matches,7,Healthcare Scholarship,For a Bright Future Foundation,,is 10000 USD. Plan to apply by 30 Jun 2026.,,,Save | Not relevant | Save | Not relevant,true,true,false,146
/scholarships/hub/best-matches,8,International Masters Scholarship,The Glasgow School of Art,,is 25000 GBP. Plan to apply by 30 May 2026.,,,Save | Not relevant | Save | Not relevant,true,true,false,141
/scholarships/hub/easy-apply,0,Owen Hart Foundation Award,Calgary Foundation,,Calgary Foundation,1 requirement,,Save | Not relevant | Save | Not relevant,true,true,false,145
/scholarships/hub/easy-apply,1,"$10,000 ""No Essay"" Scholarship",Scholarships360,,"is award worth $10,000. Plan to apply by May 31, 2026.",2 requirements,,Save | Not relevant | Save | Not relevant,true,true,false,142
/scholarships/hub/easy-apply,2,The There’s Space For Everyone Scholarship,Extra Space Storage,,"is award worth $10,000. Plan to apply by May 31, 2026.",2 requirements,,Save | Not relevant | Save | Not relevant,true,true,false,146
/scholarships/hub/easy-apply,3,CGCS-Bernard Harris Scholarship Program,Council of the Great City Schools,,"is award worth $10,000. Plan to apply by May 31, 2026.",3 requirements,,Save | Not relevant | Save | Not relevant,true,true,false,160
/scholarships/hub/easy-apply,4,Pamfil and Maria Bujea Family Orthodox Christian Seminarian Scholarship,Romanian Orthodox Episcopate of America,,"is award worth $10,000. Plan to apply by May 31, 2026.",4 requirements,,Save | Not relevant | Save | Not relevant,true,true,false,166
/scholarships/hub/easy-apply,5,Epilepsy Foundation of San Diego County College Scholarship,Epilepsy Foundation of San Diego County,,"is award worth $10,000. Plan to apply by May 31, 2026.",4 requirements,,Save | Not relevant | Save | Not relevant,true,true,false,166
/scholarships/hub/easy-apply,6,Chapman Urban Scholars Program (CUSP),POISE Foundation,,"is award worth $10,000. Plan to apply by May 31, 2026.",4 requirements,,Save | Not relevant | Save | Not relevant,true,true,false,143
/scholarships/hub/easy-apply,7,Asian American Architects/Engineers Association Student Scholarship,Asian American Architects/Engineers Association,,"is award worth $7,000. Plan to apply by May 31, 2026.",2 requirements,,Save | Not relevant | Save | Not relevant,true,true,false,173
/scholarships/hub/easy-apply,8,Maestro Cares Foundation Individual Scholarship Application (U.S. Undergraduate),Maestro Cares Foundation,,"is award worth $10,000. Plan to apply by May 25, 2026.",4 requirements,,Save | Not relevant | Save | Not relevant,true,true,false,151
/scholarships/hub/international-friendly,0,Academic Performance Scholarship at Chinese University of Hong Kong 2026,Chinese University of Hong Kong (CUHK),,"is Partial Funding, 20,000 CNY per year - 80,000 CNY per year. Plan to apply by 31 May, 2026.",,,Save | Not relevant | Save | Not relevant,true,true,false,204
/scholarships/hub/international-friendly,1,Global Excellence Scholarship at The University of Western Australia 2026,"The University of Western Australia (UWA), Perth",,"is Only tuition fees, up to AUD 48,000. Plan to apply by 31 May, 2026.",,,Save | Not relevant | Save | Not relevant,true,true,false,191
/scholarships/hub/international-friendly,2,University of Calgary Award for International Student Athletes 2026,"University of Calgary, Canada",,for International Student Athletes 2026,,,Save | Not relevant | Save | Not relevant,true,true,false,206
/scholarships/hub/international-friendly,3,Monash Graduate Scholarship at Monash University 2026,"Monash University, Australia",,"is Partial Funding, AUD 37,145 per annum. Plan to apply by 31 May, 2026.",,,Save | Not relevant | Save | Not relevant,true,true,false,173
/scholarships/hub/international-friendly,4,Morris Family Foundation PhD Scholarship at Central Queensland University 2025,"Central Queensland University (CQ University), Australia",,"is Partial Funding, AUD 92,318 + up to AUD 10,000 research support grant. Plan to apply by 31 May, 2026.",,,Save | Not relevant | Save | Not relevant,true,true,false,233
/scholarships/hub/international-friendly,5,"Sri Lanka $10,000 Early Acceptance Scholarship at Macquarie University 2026",Macquarie University,,"is Partial Funding, AUD Partial Funding, AUD $10.…per year. Plan to apply by 31 May, 2026.",,,Save | Not relevant | Save | Not relevant,true,true,false,183
/scholarships/hub/international-friendly,6,Kazakhstan Early Acceptance Scholarship at Macquarie University 2026,Macquarie University,,"is Only tuition fees, AUD Only tuition fees, AUD $1…per year. Plan to apply by 31 May, 2026.",,,Save | Not relevant | Save | Not relevant,true,true,false,185
/scholarships/hub/international-friendly,7,ASEAN Early Acceptance Scholarship at Macquarie University 2026,Macquarie University,,"is Only tuition fees, AUD Only tuition fees, AUD $1…per year. Plan to apply by 31 May, 2026.",,,Save | Not relevant | Save | Not relevant,true,true,false,185
/scholarships/hub/international-friendly,8,"University of Otago International Master's Research Scholarship, 2026",University of Otago,,"is Partial Funding, NZD 18,204 stipend + Tuition fee waiver. Plan to apply by 31 May, 2026.",,,Save | Not relevant | Save | Not relevant,true,true,false,183
