group,url,applicant_country,study_country,country,totalCountSnapshot,status,allowedForAds,robots,includeInSitemap,h1,metaTitle,qaNotes,reason,campaign_name,suggested_headline,suggested_description,geo_target,final_url,headline_1,headline_2,description,rank
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/spain/study-in/united-states,Spain,United States,,25,approved,false,,,Scholarships for Students from Spain to Study in United States,Students from Spain: Scholarships to Study in United States | ScholarshipTop,ads_optional_after_manual_QA,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/united-kingdom/study-in/germany,United Kingdom,Germany,,95,approved_priority,false,,,Scholarships for UK Students to Study in Germany,UK Students: Scholarships to Study in Germany | ScholarshipTop,germany_cluster_allowlisted,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/united-kingdom/study-in/united-kingdom,United Kingdom,United Kingdom,,170,approved_priority,false,,,Scholarships for UK Students to Study in the UK,UK Students: Scholarships to Study in the UK | ScholarshipTop,domestic_pair_not_primary_ads,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/united-kingdom/study-in/united-states,United Kingdom,United States,,70,approved_priority,true,,,Scholarships for UK Students to Study in the USA,UK Students: Scholarships to Study in the USA | ScholarshipTop,,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/united-states/study-in/canada,United States,Canada,,65,approved_priority,true,,,Scholarships for American Students to Study in Canada,American Students: Scholarships to Study in Canada | ScholarshipTop,,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/united-states/study-in/germany,United States,Germany,,117,approved_priority,false,,,Scholarships for American Students to Study in Germany,American Students: Scholarships to Study in Germany | ScholarshipTop,germany_cluster_allowlisted,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/united-states/study-in/india,United States,India,,24,approved,false,,,Scholarships for American Students to Study in India,American Students: Scholarships to Study in India | ScholarshipTop,ads_optional_after_manual_QA,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/united-states/study-in/spain,United States,Spain,,20,approved,false,,,Scholarships for American Students to Study in Spain,American Students: Scholarships to Study in Spain | ScholarshipTop,ads_optional_after_manual_QA,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/united-states/study-in/united-kingdom,United States,United Kingdom,,38,approved,false,,,Scholarships for American Students to Study in the UK,American Students: Scholarships to Study in the UK | ScholarshipTop,ads_optional_after_manual_QA,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/united-states/study-in/united-states,United States,United States,,8983,approved_priority,false,,,Scholarships for American Students to Study in the USA,American Students: Scholarships to Study in the USA | ScholarshipTop,domestic_pair_not_primary_ads,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/vietnam/study-in/united-states,Vietnam,United States,,23,approved,false,,,Scholarships for Students from Vietnam to Study in United States,Students from Vietnam: Scholarships to Study in United States | ScholarshipTop,ads_optional_after_manual_QA,,,,,,,,,,
ADS_GOOD,https://scholarshiptop.com/scholarships/for-students-from/canada/study-in/united-states,Canada,United States,,150,,,,,Scholarships for Canadian Students to Study in the USA,,,,Scholarships - Canada to United States,USA Scholarships for Canadian Students,"Find scholarships for students from Canada who want to study in United States. Compare deadlines, awards, and requirements.",,,,,,
ADS_GOOD,https://scholarshiptop.com/scholarships/for-students-from/mexico/study-in/united-states,Mexico,United States,,81,,,,,Scholarships for Mexican Students to Study in the USA,,,,Scholarships - Mexico to United States,USA Scholarships for Mexican Students,"Find scholarships for students from Mexico who want to study in United States. Compare deadlines, awards, and requirements.",,,,,,
ADS_GOOD,https://scholarshiptop.com/scholarships/for-students-from/united-kingdom/study-in/united-states,United Kingdom,United States,,70,,,,,Scholarships for UK Students to Study in the USA,,,,Scholarships - United Kingdom to United States,USA Scholarships for UK Students,"Find scholarships for students from United Kingdom who want to study in United States. Compare deadlines, awards, and requirements.",,,,,,
ADS_GOOD,https://scholarshiptop.com/scholarships/for-students-from/united-states/study-in/canada,United States,Canada,,65,,,,,Scholarships for American Students to Study in Canada,,,,Scholarships - United States to Canada,Scholarships for American Students,"Find scholarships for students from United States who want to study in Canada. Compare deadlines, awards, and requirements.",,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/australia/study-in/australia,Australia,Australia,,64,approved_priority,,,,Scholarships for Students from Australia to Study in Australia,,,Domestic pair (applicantCode === hostCode) · qaNotes: domestic_pair_not_primary_ads,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/canada/study-in/canada,Canada,Canada,,182,approved_priority,,,,Scholarships for Canadian Students to Study in Canada,,,Domestic pair (applicantCode === hostCode) · qaNotes: domestic_pair_not_primary_ads,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/canada/study-in/germany,Canada,Germany,,88,approved_priority,,,,Scholarships for Canadian Students to Study in Germany,,,Germany host cluster — often reviewed separately for differentiation · qaNotes: germany_cluster_allowlisted,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/germany/study-in/united-states,Germany,United States,,23,approved,,,,Scholarships for Students from Germany to Study in United States,,,qaNotes: ads_optional_after_manual_QA,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/india/study-in/germany,India,Germany,,90,approved_priority,,,,Scholarships for Indian Students to Study in Germany,,,Germany host cluster — often reviewed separately for differentiation · qaNotes: germany_cluster_allowlisted,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/india/study-in/india,India,India,,39,approved,,,,Scholarships for Indian Students to Study in India,,,Domestic pair (applicantCode === hostCode) · qaNotes: ads_optional_after_manual_QA; domestic_pair_not_primary_ads,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/india/study-in/united-states,India,United States,,49,approved,,,,Scholarships for Indian Students to Study in the USA,,,qaNotes: ads_optional_after_manual_QA,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/italy/study-in/united-states,Italy,United States,,46,approved,,,,Scholarships for Students from Italy to Study in United States,,,qaNotes: ads_optional_after_manual_QA,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/mexico/study-in/germany,Mexico,Germany,,94,approved_priority,,,,Scholarships for Mexican Students to Study in Germany,,,Germany host cluster — often reviewed separately for differentiation · qaNotes: germany_cluster_allowlisted,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/new-zealand/study-in/new-zealand,New Zealand,New Zealand,,66,approved_priority,,,,Scholarships for Students from New Zealand to Study in New Zealand,,,Domestic pair (applicantCode === hostCode) · qaNotes: domestic_pair_not_primary_ads,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/philippines/study-in/germany,Philippines,Germany,,96,approved_priority,,,,Scholarships for Filipino Students to Study in Germany,,,Germany host cluster — often reviewed separately for differentiation · qaNotes: germany_cluster_allowlisted,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/philippines/study-in/united-states,Philippines,United States,,25,approved,,,,Scholarships for Filipino Students to Study in the USA,,,qaNotes: ads_optional_after_manual_QA,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/poland/study-in/united-states,Poland,United States,,21,approved,,,,Scholarships for Students from Poland to Study in United States,,,qaNotes: ads_optional_after_manual_QA,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/sao-tome-principe/study-in/united-states,São Tomé & Príncipe,United States,,29,approved,,,,Scholarships for Students from São Tomé & Príncipe to Study in United States,,,qaNotes: ads_optional_after_manual_QA,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/south-korea/study-in/united-states,South Korea,United States,,20,approved,,,,Scholarships for Students from South Korea to Study in United States,,,qaNotes: ads_optional_after_manual_QA,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/spain/study-in/united-states,Spain,United States,,25,approved,,,,Scholarships for Students from Spain to Study in United States,,,qaNotes: ads_optional_after_manual_QA,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/united-kingdom/study-in/germany,United Kingdom,Germany,,95,approved_priority,,,,Scholarships for UK Students to Study in Germany,,,Germany host cluster — often reviewed separately for differentiation · qaNotes: germany_cluster_allowlisted,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/united-kingdom/study-in/united-kingdom,United Kingdom,United Kingdom,,170,approved_priority,,,,Scholarships for UK Students to Study in the UK,,,Domestic pair (applicantCode === hostCode) · qaNotes: domestic_pair_not_primary_ads,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/united-states/study-in/germany,United States,Germany,,117,approved_priority,,,,Scholarships for American Students to Study in Germany,,,Germany host cluster — often reviewed separately for differentiation · qaNotes: germany_cluster_allowlisted,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/united-states/study-in/india,United States,India,,24,approved,,,,Scholarships for American Students to Study in India,,,qaNotes: ads_optional_after_manual_QA,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/united-states/study-in/spain,United States,Spain,,20,approved,,,,Scholarships for American Students to Study in Spain,,,qaNotes: ads_optional_after_manual_QA,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/united-states/study-in/united-kingdom,United States,United Kingdom,,38,approved,,,,Scholarships for American Students to Study in the UK,,,qaNotes: ads_optional_after_manual_QA,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/united-states/study-in/united-states,United States,United States,,8983,approved_priority,,,,Scholarships for American Students to Study in the USA,,,Domestic pair (applicantCode === hostCode) · qaNotes: domestic_pair_not_primary_ads,,,,,,,,,
ADS_OPTIONAL,https://scholarshiptop.com/scholarships/for-students-from/vietnam/study-in/united-states,Vietnam,United States,,23,approved,,,,Scholarships for Students from Vietnam to Study in United States,,,qaNotes: ads_optional_after_manual_QA,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/afghanistan/study-in/germany,Afghanistan,Germany,,82,manual_review,,,,Scholarships for Students from Afghanistan to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/albania/study-in/germany,Albania,Germany,,93,manual_review,,,,Scholarships for Students from Albania to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/algeria/study-in/germany,Algeria,Germany,,88,manual_review,,,,Scholarships for Students from Algeria to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/andorra/study-in/germany,Andorra,Germany,,78,manual_review,,,,Scholarships for Students from Andorra to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/angola/study-in/germany,Angola,Germany,,86,manual_review,,,,Scholarships for Students from Angola to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/argentina/study-in/germany,Argentina,Germany,,93,manual_review,,,,Scholarships for Students from Argentina to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/argentina/study-in/united-states,Argentina,United States,,14,published_noindex,,,,Scholarships for Students from Argentina to Study in United States,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/armenia/study-in/germany,Armenia,Germany,,91,manual_review,,,,Scholarships for Students from Armenia to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/australia/study-in/germany,Australia,Germany,,78,manual_review,,,,Scholarships for Students from Australia to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/australia/study-in/india,Australia,India,,16,published_noindex,,,,Scholarships for Students from Australia to Study in India,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/australia/study-in/united-kingdom,Australia,United Kingdom,,5,published_noindex,,,,Scholarships for Students from Australia to Study in United Kingdom,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/australia/study-in/united-states,Australia,United States,,11,published_noindex,,,,Scholarships for Students from Australia to Study in United States,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/austria/study-in/germany,Austria,Germany,,79,manual_review,,,,Scholarships for Students from Austria to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/azerbaijan/study-in/germany,Azerbaijan,Germany,,90,manual_review,,,,Scholarships for Students from Azerbaijan to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/bangladesh/study-in/germany,Bangladesh,Germany,,91,manual_review,,,,Scholarships for Bangladeshi Students to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/bangladesh/study-in/united-states,Bangladesh,United States,,7,published_noindex,,,,Scholarships for Bangladeshi Students to Study in the USA,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/belarus/study-in/germany,Belarus,Germany,,88,manual_review,,,,Scholarships for Students from Belarus to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/belgium/study-in/belgium,Belgium,Belgium,,6,published_noindex,,,,Scholarships for Students from Belgium to Study in Belgium,,,published_noindex · qaNotes: low_volume_5_19_bucket; domestic_pair_not_primary_ads,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/belgium/study-in/germany,Belgium,Germany,,84,manual_review,,,,Scholarships for Students from Belgium to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/belgium/study-in/united-states,Belgium,United States,,8,published_noindex,,,,Scholarships for Students from Belgium to Study in United States,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/belize/study-in/germany,Belize,Germany,,86,manual_review,,,,Scholarships for Students from Belize to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/benin/study-in/germany,Benin,Germany,,86,manual_review,,,,Scholarships for Students from Benin to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/bhutan/study-in/germany,Bhutan,Germany,,84,manual_review,,,,Scholarships for Students from Bhutan to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/bolivia/study-in/germany,Bolivia,Germany,,86,manual_review,,,,Scholarships for Students from Bolivia to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/bosnia-herzegovina/study-in/germany,Bosnia & Herzegovina,Germany,,93,manual_review,,,,Scholarships for Students from Bosnia & Herzegovina to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/botswana/study-in/germany,Botswana,Germany,,85,manual_review,,,,Scholarships for Students from Botswana to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/brazil/study-in/germany,Brazil,Germany,,85,manual_review,,,,Scholarships for Students from Brazil to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/brazil/study-in/united-kingdom,Brazil,United Kingdom,,5,published_noindex,,,,Scholarships for Students from Brazil to Study in United Kingdom,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/brazil/study-in/united-states,Brazil,United States,,12,published_noindex,,,,Scholarships for Students from Brazil to Study in United States,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/bulgaria/study-in/germany,Bulgaria,Germany,,88,manual_review,,,,Scholarships for Students from Bulgaria to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/burkina-faso/study-in/germany,Burkina Faso,Germany,,86,manual_review,,,,Scholarships for Students from Burkina Faso to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/burundi/study-in/germany,Burundi,Germany,,86,manual_review,,,,Scholarships for Students from Burundi to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/cambodia/study-in/australia,Cambodia,Australia,,5,published_noindex,,,,Scholarships for Students from Cambodia to Study in Australia,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/cambodia/study-in/germany,Cambodia,Germany,,91,manual_review,,,,Scholarships for Students from Cambodia to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/cameroon/study-in/germany,Cameroon,Germany,,86,manual_review,,,,Scholarships for Students from Cameroon to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/canada/study-in/australia,Canada,Australia,,6,published_noindex,,,,Scholarships for Canadian Students to Study in Australia,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/canada/study-in/france,Canada,France,,5,published_noindex,,,,Scholarships for Canadian Students to Study in France,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/canada/study-in/india,Canada,India,,10,published_noindex,,,,Scholarships for Canadian Students to Study in India,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/canada/study-in/turkey,Canada,Türkiye,,5,published_noindex,,,,Scholarships for Canadian Students to Study in Turkey,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/canada/study-in/united-kingdom,Canada,United Kingdom,,13,published_noindex,,,,Scholarships for Canadian Students to Study in the UK,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/cape-verde/study-in/germany,Cape Verde,Germany,,85,manual_review,,,,Scholarships for Students from Cape Verde to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/central-african-republic/study-in/germany,Central African Republic,Germany,,85,manual_review,,,,Scholarships for Students from Central African Republic to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/chad/study-in/germany,Chad,Germany,,85,manual_review,,,,Scholarships for Students from Chad to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/chile/study-in/germany,Chile,Germany,,84,manual_review,,,,Scholarships for Students from Chile to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/chile/study-in/united-states,Chile,United States,,11,published_noindex,,,,Scholarships for Students from Chile to Study in United States,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/china/study-in/canada,China,Canada,,7,published_noindex,,,,Scholarships for Students from China to Study in Canada,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/china/study-in/china,China,China,,15,published_noindex,,,,Scholarships for Students from China to Study in China,,,published_noindex · qaNotes: low_volume_5_19_bucket; domestic_pair_not_primary_ads,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/china/study-in/germany,China,Germany,,8,manual_review,,,,Scholarships for Students from China to Study in Germany,,,manual_review · qaNotes: germany_cluster_manual_review; not_on_germany_index_allowlist; low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/china/study-in/united-kingdom,China,United Kingdom,,5,published_noindex,,,,Scholarships for Students from China to Study in United Kingdom,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
NOINDEX,https://scholarshiptop.com/scholarships/for-students-from/china/study-in/united-states,China,United States,,15,published_noindex,,,,Scholarships for Students from China to Study in United States,,,published_noindex · qaNotes: low_volume_5_19_bucket,,,,,,,,,
